,DVC Code,Company Name,Business Nature,business Sector,Business Industry,Listed,Legal status,User Key,User Name,Firm Key,Firm Name,Service Category,Service Name,Document Date,Document,Reference Law,DVC Date,Day,Month,Year
29434,2105031758AS327178,NRB COMMERCIAL BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,1758,Md. Shahidul Islam FCA,F-0072,K M Hasan & Co.,Audit,Statutory Audit,3/29/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-03,03,May,2021
29436,2105030625AS496690,SOCIAL ISLAMI BANK LIMITED ,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,625,Sampad Kumar Basak FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,5/3/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-03,03,May,2021
29437,2101101184CC635470,THE PENINSULA CHITTAGONG LIMITED,Hotel,Food & Drinks,Hotel,Y,Public Limited Company,1184,Arafat  Kamal FCA,F-0115,Rahman Mostafa Alam & Co.,Certification,Certification Regarding IPO,1/10/2021,Certification for IPO,"Bangladesh Securities and Exchange Commission Act, 1993",2021-01-10,10,January,2021
29438,2101201204CO557492,FIRST SECURITY ISLAMI BANK LIMITED,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,1204,Mohammad Mofizul Haque Rinku FCA,F-0115,Rahman Mostafa Alam & Co.,Certification,Others,1/20/2021,Other Certification,"The Bank Company Act, 1991",2021-01-20,20,January,2021
29439,2101270643AS982567,GRAMEENPHONE LTD.,Telecom,Information Technology,Telecom,Y,Public Limited Company,643,Akhtar  Sanjida Kasem FCA,F-0010,A Qasem & Co.,Audit,Statutory Audit,1/27/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-01-27,27,January,2021
29444,2105050564AS777203,MUTUAL TRUST BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,564,Mahmood Hasan FCA,F-0083,M J Abedin & Co.,Audit,Statutory Audit,5/4/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-05,05,May,2021
29445,2012310137AO502393,SOUTH BANGLA AGRICULTURE AND COMMERCE BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,137,Showkat  Hossain FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Other Audit,12/31/2020,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2020-12-31,31,December,2020
29450,2103231129AS269426,DBH FINANCE PLC (Old Name: DELTA BRAC HOUSING FINANCE CORPORATION LIMITED),Finanacing,NBFI,Finanacing,Y,Public Limited Company,1129,Muhammad Aminul Hoque FCA,F-0003,ACNABIN,Audit,Statutory Audit,3/22/2021,Auditors Report and Financial Statements ,"Financial Institution Act, 1993",2021-03-23,23,March,2021
29482,2104250268AS429172,JANATA INSURANCE COMPANY LTD.,General Insurance,Insurance,General Insurance,Y,Public Limited Company,268,AFM  Alamgir FCA,F-0025,ARTISAN,Audit,Statutory Audit,4/24/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-04-25,25,April,2021
29483,2104260105AS323697,CRYSTAL INSURANC COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,105,Howlader Mahfel Huq FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,4/26/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-04-26,26,April,2021
29484,2104280137AS204484,ISLAMI BANK BANGLADESH LIMITED ,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,137,Showkat  Hossain FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,4/27/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-04-28,28,April,2021
29485,2104281480AS586868,CITY GENERAL INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1480,Mohammad Belayet Hossain FCA,F-0071,K M Alam & Co.,Audit,Statutory Audit,4/28/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-04-28,28,April,2021
29486,2104291522AS175798,NITOL INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1522,Md. Abdus Satter Sarkar FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,4/18/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-04-29,29,April,2021
29487,2105030137AS675845,SOCIAL ISLAMI BANK LIMITED ,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,137,Showkat  Hossain FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,5/3/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-03,03,May,2021
29488,2103070770AS201814,DUTCH BANGLA BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,770,Sabbir  Ahmed FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,3/6/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-03-07,07,March,2021
29489,2103100787AS738073,SHAHJALAL ISLAMI BANK LIMITED,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,787,Md  Moniruzzaman FCA,F-0003,ACNABIN,Audit,Statutory Audit,3/10/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-03-10,10,March,2021
29490,2104010521AS369193,INTERNATIONAL FINANCE INVESTMENT AND COMMERCE BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,521,Muhammad  Farooq FCA,F-0058,Howladar Yunus & Co.,Audit,Statutory Audit,3/31/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-04-01,01,April,2021
29491,2104040670AS390017,NATIONAL HOUSING FINANCE AND INVESTMENT LIMITED,Finanacing,NBFI,Finanacing,Y,Public Limited Company,670,AKM Kamrul Islam FCA,F-0065,Islam Aftab Kamrul & Co.,Audit,Statutory Audit,3/24/2021,Auditors Report and Financial Statements ,"Financial Institution Act, 1993",2021-04-04,04,April,2021
29492,2103311129AS457794,ONE BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,1129,Muhammad Aminul Hoque FCA,F-0003,ACNABIN,Audit,Statutory Audit,3/28/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-03-31,31,March,2021
29495,2103310461AS231375,SONALI LIFE INSURANCE COMPANY LIMITED,Life Insurance,Insurance,Life Insurance,Y,Public Limited Company,461,Md Shirazul Islam Khan FCA,F-0133,Shiraz Khan Basak & Co.,Audit,Statutory Audit,3/27/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-03-31,31,March,2021
29501,2105040407AS224324,BANGLADESH NATIONAL INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,407,AKM Aminul Hoque FCA,F-0004,A Hoque & Co.,Audit,Statutory Audit,4/25/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-05-04,04,May,2021
29502,2105040392AS131551,PEOPLES INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,4/29/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-05-04,04,May,2021
29508,2103140575AS629197,PARAMOUNT INSURANCE COMPANY LIMITED.  ,General Insurance,Insurance,General Insurance,Y,Public Limited Company,575,Md Abdul Momin Khan Lohani FCA,F-0025,ARTISAN,Audit,Statutory Audit,3/14/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-03-14,14,March,2021
29511,2105031242AS719614,NRB COMMERCIAL BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,1242,Ali Amjad Choudhury FCA,F-0058,Howladar Yunus & Co.,Audit,Statutory Audit,4/29/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-03,03,May,2021
29513,2105030595AS652035,STANDARD BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,595,Md Shafiqul Islam FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,5/3/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-03,03,May,2021
29514,2105050240AS215067,ISLAMIC FINANCE AND INVESTMENT LIMITED,Finanacing,NBFI,Finanacing,Y,Public Limited Company,240,Md Nurul Hossain Khan FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,4/11/2021,Auditors Report and Financial Statements ,"Financial Institution Act, 1993",2021-05-05,05,May,2021
29515,2102250165AS232853,INTECH LIMITED,ITES Services,Information Technology,ITES Services,Y,Public Limited Company,165,Quazi Shafiqul Islam FCA,F-0067,Islam Quazi Shafique & Co.,Audit,Statutory Audit,2/7/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-02-25,25,February,2021
29516,2103250770AS857181,BANK ASIA LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,770,Sabbir  Ahmed FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,3/18/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-03-25,25,March,2021
29518,2103150247AS491702,RELIANCE INSURANCE LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,247,Md  Waliullah FCA,F-0094,Malek Siddiqui Wali,Audit,Statutory Audit,3/10/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-03-15,15,March,2021
29519,2104270392AS833072,CONTINENTAL INSURANCE LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,4/12/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-04-27,27,April,2021
29520,2104280787AS135719,AB BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,787,Md  Moniruzzaman FCA,F-0003,ACNABIN,Audit,Statutory Audit,4/27/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-04-28,28,April,2021
29525,2103220509AS524431,THE CITY BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,509,Ali Ashfaq FCA,F-0118,Rahman Rahman Huq,Audit,Statutory Audit,3/22/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-03-22,22,March,2021
29527,2103140535AS539851,MERCANTILE BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,535,Nasir Uddin Ahmed FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,3/11/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-03-14,14,March,2021
29528,2104120509AS804856,BRAC BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,509,Ali Ashfaq FCA,F-0118,Rahman Rahman Huq,Audit,Statutory Audit,4/12/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-04-12,12,April,2021
29529,2104130521AS166202,PUBALI BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,521,Muhammad  Farooq FCA,F-0058,Howladar Yunus & Co.,Audit,Statutory Audit,4/12/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-04-13,13,April,2021
29530,2104160353AS595887,PRIME BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,353,Abu Sayed Mohammed Nayeem FCA,F-0003,ACNABIN,Audit,Statutory Audit,3/31/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-04-16,16,April,2021
29532,2104250392AS551600,UTTARA BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,4/8/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-04-25,25,April,2021
29535,2105031758AS758234,NRB COMMERCIAL BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,1758,Md. Shahidul Islam FCA,F-0072,K M Hasan & Co.,Audit,Statutory Audit,4/29/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-03,03,May,2021
29537,2105030596AS104161,ASIA PACIFIC GENERAL INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,596,Md Iqbal Hossain FCA,F-0142,Zoha Zaman Kabir Rashid & Co.,Audit,Statutory Audit,4/27/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-05-03,03,May,2021
29539,2103041152CC373910,IPDC FINANCE LIMITED,Finanacing,NBFI,Finanacing,Y,Public Limited Company,1152,Zareen  Mahmud Hosein FCA,F-0135,Snehasish Mahmud & Co.,Certification,Corporate Governance Certification,3/4/2021,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993",2021-03-04,04,March,2021
29540,2103180469AS800856,ROBI AXIATA LIMITED,Telecom,Information Technology,Telecom,Y,Public Limited Company,469,A F  Nesaruddin FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,2/15/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-03-18,18,March,2021
29543,2103150720AS568959,UNITED INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,720,Md Faruk Uddin Ahammed FCA,F-0110,Nurul Faruk Hasan & Co.,Audit,Statutory Audit,3/10/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-03-15,15,March,2021
29544,2105221162AS618738,STANDARD INSURANCE LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1162,Md. Masudur Rahman FCA,F-0071,K M Alam & Co.,Audit,Statutory Audit,5/22/2021,Auditors Report and Financial Statements ,Others,2021-05-22,22,May,2021
29546,2107290239AS704482,SANDHANI LIFE INSURANCE COMPANY LIMITED,Life Insurance,Insurance,Life Insurance,Y,Public Limited Company,239,Sarwar  Mahmood FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,7/29/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-07-29,29,July,2021
29547,2108041512AS365907,MIDAS FINANCING LIMITED,Finanacing,NBFI,Finanacing,Y,Public Limited Company,1512,Shaikh Hasibur Rahman FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,8/2/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-08-04,04,August,2021
29549,2106151032AS104866,UNION INSURANCE CO. LTD,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1032,Fouzia  Haque FCA,F-0044,FAMES & R,Audit,Statutory Audit,12/12/2020,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-06-15,15,June,2021
29550,2106200615AS933979,ASIA INSURANCE LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,615,Md Syful Islam FCA,F-0136,Syful Shamsul Alam & Co.,Audit,Statutory Audit,6/20/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-06-20,20,June,2021
29551,2106220452AS515649,RUPALI BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,452,Muhammed Farhad Hussain FCA,F-0061,Hussain Farhad & Co.,Audit,Statutory Audit,6/21/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-06-22,22,June,2021
29553,2106260392AS113541,POPULAR LIFE INSURANCE COMPANY LIMITED,Life Insurance,Insurance,Life Insurance,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,6/26/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-06-26,26,June,2021
29554,2106280596AS877191,PHOENIX INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,596,Md Iqbal Hossain FCA,F-0142,Zoha Zaman Kabir Rashid & Co.,Audit,Statutory Audit,6/3/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-06-28,28,June,2021
29555,2102170509AS620010,IPDC FINANCE LIMITED,Finanacing,NBFI,Finanacing,Y,Public Limited Company,509,Ali Ashfaq FCA,F-0118,Rahman Rahman Huq,Audit,Statutory Audit,2/17/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-02-17,17,February,2021
29558,2104010527AS225422,ICB ISLAMIC BANK LIMITED,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,527,Kamrul  Abedin FCA,F-0083,M J Abedin & Co.,Audit,Statutory Audit,3/31/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-04-01,01,April,2021
29559,2103280240AS536343,PADMA ISLAMI LIFE INSURANCE LIMITED.,Life Insurance,Insurance,Life Insurance,Y,Public Limited Company,240,Md Nurul Hossain Khan FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,3/25/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-03-28,28,March,2021
29563,2012241758CC195328,EXPRESS INSURANCE LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1758,Md. Shahidul Islam FCA,F-0072,K M Hasan & Co.,Certification,Certification Regarding IPO,12/14/2020,Certification for IPO,"The Insurance Act, 2010",2020-12-24,24,December,2020
29564,2102011204CO904164,FIRST SECURITY ISLAMI BANK LIMITED,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,1204,Mohammad Mofizul Haque Rinku FCA,F-0115,Rahman Mostafa Alam & Co.,Certification,Others,1/20/2021,Other Certification,"The Bank Company Act, 1991",2021-02-01,01,February,2021
29565,2102111184CC487357,THE PENINSULA CHITTAGONG LIMITED,Hotel,Food & Drinks,Hotel,Y,Public Limited Company,1184,Arafat  Kamal FCA,F-0115,Rahman Mostafa Alam & Co.,Certification,Certification Regarding IPO,2/10/2021,Certification for IPO,"Bangladesh Securities and Exchange Commission Act, 1993",2021-02-11,11,February,2021
29567,2104040527AS156355,ICB ISLAMIC BANK LIMITED,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,527,Kamrul  Abedin FCA,F-0083,M J Abedin & Co.,Audit,Statutory Audit,3/31/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-04-04,04,April,2021
29571,2105111184CC253410,THE PENINSULA CHITTAGONG LIMITED,Hotel,Food & Drinks,Hotel,Y,Public Limited Company,1184,Arafat  Kamal FCA,F-0115,Rahman Mostafa Alam & Co.,Certification,Certification Regarding IPO,5/9/2021,Certification for IPO,"Bangladesh Securities and Exchange Commission Act, 1993",2021-05-11,11,May,2021
29572,2105221162AS617388,STANDARD INSURANCE LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1162,Md. Masudur Rahman FCA,F-0071,K M Alam & Co.,Audit,Statutory Audit,5/22/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-05-22,22,May,2021
29573,2107051497CC905778,REPUBLIC INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1497,Mohammad Abu Kawsar FCA,F-0137,T Hussain & Co.,Certification,Corporate Governance Certification,7/5/2021,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993",2021-07-05,05,July,2021
29574,2107060595AS208461,PURABI GENERAL INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,595,Md Shafiqul Islam FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,6/30/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-07-06,06,July,2021
29576,2107071268CC363693,DHAKA INSURANCE LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1268,Md.  Anwaruzzaman FCA,F-0115,Rahman Mostafa Alam & Co.,Certification,Corporate Governance Certification,6/9/2021,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993",2021-07-07,07,July,2021
29577,2109011175CC478383,NATIONAL LIFE INSURANCE COMPANY LIMITED,Life Insurance,Insurance,Life Insurance,Y,Public Limited Company,1175,Anjan  Kumer Roy FCA,F-0167,Ahmed Sheikh Roy & Co.,Certification,Corporate Governance Certification,1/9/2021,Certification for CG Governance,"Bangladesh Securities and Exchange Commission Act, 1993",2021-09-01,01,September,2021
29578,2105301758AS147722,UNION CAPITAL LIMITED								,Finanacing,NBFI,Finanacing,Y,Public Limited Company,1758,Md. Shahidul Islam FCA,F-0072,K M Hasan & Co.,Audit,Statutory Audit,5/30/2021,Auditors Report and Financial Statements ,"Financial Institution Act, 1993",2021-05-30,30,May,2021
29580,2106090535AS356626,UNITED COMMERCIAL BANK PLC (Old Name: UNITED COMMERCIAL BANK LIMITED),Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,535,Nasir Uddin Ahmed FCA,F-0090,MABS & J Partners,Audit,Statutory Audit,6/8/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-06-09,09,June,2021
29581,2107280105AS562371,NATIONAL LIFE INSURANCE COMPANY LIMITED,Life Insurance,Insurance,Life Insurance,Y,Public Limited Company,105,Howlader Mahfel Huq FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,7/28/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-07-28,28,July,2021
29585,2108260915AS642298,SEA PEARL BEACH RESORT & SPA LTD.,Hotel,Tour & Leisure,Hotel,Y,Public Limited Company,915,Abdulla Al Mahmud FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,8/23/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-08-26,26,August,2021
29586,2108260596AS461234,GSP FINANCE COMPANY (BANGLADESH) LIMITED,Finanacing,NBFI,Finanacing,Y,Public Limited Company,596,Md Iqbal Hossain FCA,F-0142,Zoha Zaman Kabir Rashid & Co.,Audit,Statutory Audit,8/14/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-08-26,26,August,2021
29587,2106071090AS470804,NORTHERN ISLAMI INSURANCE LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1090,AKM Fazlul Haque FCA,F-0061,Hussain Farhad & Co.,Audit,Statutory Audit,5/31/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-06-07,07,June,2021
29591,2105250240AS261687,MERCANTILE INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,240,Md Nurul Hossain Khan FCA,F-0073,Kazi Zahir Khan & Co.,Audit,Statutory Audit,5/23/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-05-25,25,May,2021
29592,2103040770AS843681,IDLC FINANCE LIMITED,Finanacing,NBFI,Finanacing,Y,Public Limited Company,770,Sabbir  Ahmed FCA,F-0055,Hoda Vasi Chowdhury & Co.,Audit,Statutory Audit,3/4/2021,Auditors Report and Financial Statements ,"Financial Institution Act, 1993",2021-03-04,04,March,2021
29597,2103140471AS986796,GREEN DELTA INSURANCE COMPANY LTD. ,General Insurance,Insurance,General Insurance,Y,Public Limited Company,471,Md Enamul Haque Choudhury FCA,F-0121,S F Ahmed & Co.,Audit,Statutory Audit,2/14/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-03-14,14,March,2021
29599,2104251204AS892609,UTTARA BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,1204,Mohammad Mofizul Haque Rinku FCA,F-0115,Rahman Mostafa Alam & Co.,Audit,Statutory Audit,4/8/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-04-25,25,April,2021
29601,2104120912AS840301,EASTERN BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,912,Mohammed Hamidul Islam FCA,F-0010,A Qasem & Co.,Audit,Statutory Audit,4/12/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-04-12,12,April,2021
29603,2103110281CC512902,EGENERATION LIMITED,Software Services,Information Technology,Software Services,Y,Public Limited Company,281,Hedayet  Ullah FCA,F-0072,K M Hasan & Co.,Certification,Certification Regarding IPO,3/11/2021,Certification for IPO,"The Companies Act, 1994",2021-03-11,11,March,2021
29604,2103110458AS440367,PRIME INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,458,AKM Mohitul Haq FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,2/7/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-03-11,11,March,2021
29607,2103230478AS982364,PRIME FINANCE FIRST MUTUAL FUND,Mutual Funds,Funds,Mutual Funds,Y,Public Limited Company,478,M Zabed Ali Mridha FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,2/2/2021,Auditors Report and Financial Statements ,"Bangladesh Securities and Exchange Commission Act, 1993",2021-03-23,23,March,2021
29608,2103280392AS849165,AGRANI INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,392,A. K. Gulam Kibria FCA,F-0047,G Kibria & Co.,Audit,Statutory Audit,3/14/2021,Auditors Report and Financial Statements ,"The Companies Act, 1994",2021-03-28,28,March,2021
29610,2105181204AS932047,FIRST SECURITY ISLAMI BANK LIMITED,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,1204,Mohammad Mofizul Haque Rinku FCA,F-0115,Rahman Mostafa Alam & Co.,Audit,Statutory Audit,5/11/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-18,18,May,2021
29611,2105180595AS471756,FIRST SECURITY ISLAMI BANK LIMITED,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,595,Md Shafiqul Islam FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,5/11/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-18,18,May,2021
29614,2105060105AS207609,EASTERN INSURANCE COMPANY LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,105,Howlader Mahfel Huq FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,4/29/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-05-06,06,May,2021
29615,2105090860AS469823,SOUTHEAST BANK LIMITED,Commercial Bank,Banks,Commercial Bank,Y,Public Limited Company,860,Md. Jahidur Rahman FCA,F-0058,Howladar Yunus & Co.,Audit,Statutory Audit,5/9/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-09,09,May,2021
29621,2105090595AS454081,AL-ARAFAH ISLAMI BANK LIMITED,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,595,Md Shafiqul Islam FCA,F-0127,Shafiq Basak & Co.,Audit,Statutory Audit,5/9/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-09,09,May,2021
29622,2105190105AS631647,ISLAMI INSURANCE BANGLADESH LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,105,Howlader Mahfel Huq FCA,F-0091,Mahfel Huq & Co.,Audit,Statutory Audit,5/11/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-05-19,19,May,2021
29623,2105190478AS762094,EXPORT IMPORT BANK OF BANGLADESH LIMITED,Islamic Bank,Banks,Islamic Bank,Y,Public Limited Company,478,M Zabed Ali Mridha FCA,F-0017,Ahmed Zaker & Co.,Audit,Statutory Audit,5/9/2021,Auditors Report and Financial Statements ,"The Bank Company Act, 1991",2021-05-19,19,May,2021
29624,2105231162AS247975,STANDARD INSURANCE LIMITED,General Insurance,Insurance,General Insurance,Y,Public Limited Company,1162,Md. Masudur Rahman FCA,F-0071,K M Alam & Co.,Audit,Statutory Audit,5/23/2021,Auditors Report and Financial Statements ,"The Insurance Act, 2010",2021-05-23,23,May,2021
